contract_id,text,text_norm,label
AgapeAtpCorp_20191202_10-KA_EX-10.1_11911128_EX-10.1_Supply Agreement,The Manufacturer agrees to offer the Customer the first right of refusal to purchase the intellectual property for the products listed in Schedule A of this agreement based upon agreed terms.,the manufacturer agrees to offer the customer the first right of refusal to purchase the intellectual property for the products listed in schedule a of this agreement based upon agreed terms,Rofr/Rofo/Rofn
"BORROWMONEYCOM,INC_06_11_2020-EX-10.1-JOINT VENTURE AGREEMENT","Assignment of Member status, under this clause, including any management and voting interests, will require the consent of all the remaining Members.",assignment of member status under this clause including any management and voting interests will require the consent of all the remaining members,Anti-Assignment
TubeMediaCorp_20060310_8-K_EX-10.1_513921_EX-10.1_Affiliate Agreement,"In consideration of the terms and conditions set forth herein, Network shall pay Affiliate (i) the Affiliate Advertising Share, and (ii) the Affiliate Transactional Share, each as provided in Exhibit D.",in consideration of the terms and conditions set forth herein network shall pay affiliate i the affiliate advertising share and ii the affiliate transactional share each as provided in exhibit d,Revenue/Profit Sharing
"GSITECHNOLOGYINC_11_16_2009-EX-10.2-INTELLECTUAL PROPERTY AGREEMENT between SONY ELECTRONICS INC. and GSI TECHNOLOGY, INC.",other Party with notice of the transfer or assignment.,other party with notice of the transfer or assignment,Change Of Control
"VIVINT SOLAR, INC. - NON-COMPETITION AGREEMENT","This Agreement will become effective on the Effective Date, and will continue until the expiration of the ""Sales Term"" as that term is defined in the Sales Dealer Agreement dated as of August 16, 2017 between Vivint and Vivint Solar Developer, LLC (the ""Term"").""",this agreement will become effective on the effective date and will continue until the expiration of the sales term as that term is defined in the sales dealer agreement dated as of august 16 2017 between vivint and vivint solar developer llc the term,Expiration Date
AMERICANPHYSICIANSCAPITALINC_03_31_2003-EX-10.26-AGENCY AGREEMENT,A commission rate of 12% will be paid for both new and renewal physicians liability business.,a commission rate of 12 will be paid for both new and renewal physicians liability business,Revenue/Profit Sharing
SmartRxSystemsInc_20180914_1-A_EX1A-6 MAT CTRCT_11351705_EX1A-6 MAT CTRCT_Distributor Agreement,EXCLUSIVE DISTRIBUTOR AGREEMENT,exclusive distributor agreement,Document Name
"GSITECHNOLOGYINC_11_16_2009-EX-10.2-INTELLECTUAL PROPERTY AGREEMENT between SONY ELECTRONICS INC. and GSI TECHNOLOGY, INC.","GSI Technology, Inc.",gsi technology inc,Parties
LIGHTBRIDGECORP_11_23_2015-EX-10.26-STRATEGIC ALLIANCE AGREEMENT,No Party may assign this Agreement without the prior written consent of the other Party.,no party may assign this agreement without the prior written consent of the other party,Anti-Assignment
CHANGEPOINTCORP_03_08_2000-EX-10.6-LICENSE AND HOSTING AGREEMENT,"Subject to the provisions of this Agreement including the provisions of Article 8, Changepoint hereby grants to Customer and Customer hereby accepts from Changepoint the perpetual, personal, non-transferable and non-exclusive Software Licenses to use the Licensed Software for Customer's internal business purposes.",subject to the provisions of this agreement including the provisions of article 8 changepoint hereby grants to customer and customer hereby accepts from changepoint the perpetual personal non transferable and non exclusive software licenses to use the licensed software for customer s internal business purposes,Irrevocable Or Perpetual License
