contract_id,label,text,noise_010
LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,Document Name,DISTRIBUTOR AGREEMENT,DpSTRIcTOR  AGREEMENT
LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,Parties,Electric City of Illinois L.L.C.,Electr8c xit of Illinois L.L.C.
LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,Parties,Electric City of Illinois LLC,Eleczric City of Illinoi LLC
LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,Agreement Date,"7th day of September, 1999.","7th day of Sep ember, 1999."
LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,Effective Date,"The term of this Agreement shall be ten (10) years (the ""Term"") which shall commence on the date upon which the Company delivers to Distributor the last Sample, as defined hereinafter.","T5t te m of this Agreement shal beten (10)  ears (vhe ""Term   which shall commence on  he  e upon which the Coganydeliver  to Distributor rie las Sa9ple, as defined here nafter."
LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,Effective Date,"Unless earlier terminated otherwise provided therein, this Agreement, subject to the commencement date established in Section 1.3, shall be effective immediately.","Uoless  earlwer  terminated  otherw  se  provided  therein,  this  Agreement,  sujec  to  the  commencement  date  established  in  Section1.3v  shall  be  tffective  izmediateli."
LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,Expiration Date,"The term of this Agreement shall be ten (10) years (the ""Term"") which shall commence on the date upon which the Company delivers to Distributor the last Sample, as defined hereinafter.","The  term  ofothis  Areement  shall  be  ten  (10)  yea  s  (the  ""Term"")  which  shpll  commence  on  the  dato  upon  which  the  Company  delives  to  Distrhbu  or  te  last  Sample,  as  deines  hereinafter."
LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,Renewal Term,"If Distributor complies with all of the terms of this Agreement, the Agreement shall be renewable on an annual basis for one (1) year terms for up to another ten (10) years on the same terms and conditions as set forth herein.","If  Distribuor  omplieswith  al0  of  the  terms  of  this  Agreement,  theAgreement  shall  be  renewable  on  an  annu  l  basis  for  oae  (1)  year  terms  or  u  to  adother  tpn  (10)  yeats  on  the  same  term    and  conditio  s  as  uet  forth  herein."
LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,Governing Law,This Agreement is to be construed according to the laws of the State of Illinois.,This Agr ement is to be consru d accordi0g to the lams o tpe State of Illinois.
LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,Exclusivity,The Distributor shall not order or purchase Products from any source other than the Company.,Tde Dxstri utoz shall not order or purchase Produs f om any tource other than the Copany 
LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,Exclusivity,"Company hereby appoints Distributor as Company's exclusive distributor within the Market and grants to Distributor the exclusive right to sell and distribute Products within the Market, and Distributor hereby accepts such appointment and such grant, in accordance with the terms and conditions of this Agreement.","Company  heeby  appointsdnistributor  as  Co1panyks  exlusive  distributor  within  the  Market  an2srants  to  Disrib  tor  the  excluive  rig  t  to  sell  and  distribute  Poducts  within  phe  Market,  and  Distrixutor  hereby  aceptsuch  appoiment  an38  uchpgrant,  incaccrdance  with  the  tms  and  conditions  of  this  Agreement."
LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,Exclusivity,"The Company appoints the Distributor as an exclusive distributor of Products in the Market, subject to the terms and conditions of this Agreement.","The Co pany appintsthe Distributor as an excl sive distributor of Pro4ucte in the Maket, subect to the term and c nditions of this Agreemen0."
LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,No-Solicit Of Customers,"Distributor further agrees that it will not interfere with or otherwise disrupt the business relations between the Company or nay of its affiliates and any of their current or prospective customers, suppliers or distributors, during the","Distribut6r  f5rthe  agrees  t  at  it  vill  nt  interfere  with  or  otherqise  disrupt    h0  busines  relations  between  the  Company  or  n  q  of  its  a  filiates  and  any  f  thir  5urregt  or  prospectise  custo  rsp  suppliers  or  distributors,  during  the"
LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,No-Solicit Of Customers,"Term of the Agreement and for a period of eighteen (18) months thereafter, nor will Distributor solicit any customer or potential customer of Company to purchase a competitive product during that period.","Term  of  the  grtementead  for  a  perio    of  eighteen  (18)  mon  hs      reaoter,  nor  will  Distributyr  solicit  any  custome    cr  potentil  customer  of  Co  pany  to  purchase  a  competitive  po  ct  d  r  ng  t  a    p  riod"
LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,No-Solicit Of Employees,"During the Term of this Agreement and for a period of twelve (12) months thereafter, the Distributor (on behalf of itself, each of its affiliates and each of their respective representatives) agrees that it will not directly or indirectly solicit or hire any executive, managerial or technical employee of the Company or any of its affiliates.","Duri3g the Teymov t is Agreement nd fr a perio  of twel2e (12) mojths t2ereafte9  tye Distributor (on behavf of itself, each of its aff liates and eac  of their rspe tive oepresentatve ) agrees that it will not d recly r indirectly solicit or hire any executive, managerialor technical employew f the Compa8y or any df its affiliates "
LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,Rofr/Rofo/Rofn,Distributor shall exercise its option to become exclusive Distributor of other Products or devices by serving written notification on Company of its election to become exclusive distributor within thirty (30) days upon which Company informed Distributor in writing of Company's intention to introduce other Products or devices.,Distribwtor  shall  exer  ise  ims  optiq    to  becoee  e  clusiv  Distrib    or  of  other  Products  o    devices  by  erving  wrin  notificaion  on  C  mpany  o    its  election  torbecome  exclusie  distributor  hithin  shiaty  (30)  days  u  on  w  ich  Compan  infomed    istributo  in  writing    f  Companyqs  intetin  to  intoduhd  oth  r  Products  oi  devicws.
LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,Rofr/Rofo/Rofn,"If Distributor does not exercise its option as herein provided, Company may distribute the other Products or devices within the Market itself or through other distributors.","If  ist7ibutor does not exercise its opton  s here n pro ided, Company may distribut  the otuer Prougt0 or deviceswitinthe Marknt itsel9 or throgh other dist3ibuto s."
LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,Rofr/Rofo/Rofn,"Should Company introduce other products or devices as contemplated by recital paragraph ""A"", Distributor shall have the option of becoming Company's exclusive distributor of such other Products or devices within the Market.","Should Com  ny introduce other p9oducts or devices as conzempprttd b recital paragraph ""A, istribut5r shall have the op ontof becoming Company's exclusi e dsstr butor of such other Products or deiceswithin the Manket."
LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,Anti-Assignment,"No assignment of this Agreement or any right accruing hereunder shall be made by the Distributor in whole or in part, without the prior written consent of the Company, which consent shall not be unreasonably withheld."," o as ig7ment of this Agreement or any rig t cc uing hegeunder shall be mnde y th  Distriutor in hole ol in part, without the prior w itten conse t of theCompany, whi22 co0 nt shall not be u reasonaly withheld."
LIMEENERGYCO_09_09_1999-EX-10-DISTRIBUTOR AGREEMENT,Anti-Assignment,"In the event either party (a) becomes adjudicated insolvent, (b) discontinues its business, (c) has voluntary of involuntary bankruptcy proceedings instituted against it, or (d) makes an assignment for the benefit of creditors, the other party shall be entitled to terminate this Agreement effective immediately upon written notice."," n the eve4t either party (a) becomes adjudicated insolvent,  discontigues its buyines , (c) has voluntary of involun ary bankr ptcy proceedings insyituted aga nst it or (d) mak s a asignmen  for theybenefit of creditor , he other party shal be enttled to trminate this igreement eff8ctive imme6ately upon writon not ce."
