query_id,query_contract_id,query_label,query_text,method,top1_label,top1_score,top1_text,top1_contract_id,top1_source
0,AgapeAtpCorp_20191202_10-KA_EX-10.1_11911128_EX-10.1_Supply Agreement,Rofr/Rofo/Rofn,The Manufacturer agrees to offer the Customer the first right of refusal to purchase the intellectual property for the products listed in Schedule A of this agreement based upon agreed terms.,BM25_leakage_controlled,Rofr/Rofo/Rofn,55.158364365117706,Any material change in the terms of the offer from a third-party after we have elected not to purchase the seller's interest will constitute a new offer subject to the same right of first refusal as the third party's initial offer.,PfHospitalityGroupInc_20150923_10-12G_EX-10.1_9266710_EX-10.1_Franchise Agreement1,CUAD_train_contracts
0,AgapeAtpCorp_20191202_10-KA_EX-10.1_11911128_EX-10.1_Supply Agreement,Rofr/Rofo/Rofn,The Manufacturer agrees to offer the Customer the first right of refusal to purchase the intellectual property for the products listed in Schedule A of this agreement based upon agreed terms.,SBERT_leakage_controlled,Rofr/Rofo/Rofn,0.7035199403762817,"The Reseller shall have a right of first refusal to include within this Agreement any additional products developed, manufactured, or sold by the Company following the Effective Date that are not currently included in Exhibit A, and upon the exercise of such right, the term ""Products"" shall be expanded to mean such additional products as well.",TodosMedicalLtd_20190328_20-F_EX-4.10_11587157_EX-4.10_Marketing Agreement_ Reseller Agreement,CUAD_train_contracts
1,"BORROWMONEYCOM,INC_06_11_2020-EX-10.1-JOINT VENTURE AGREEMENT",Anti-Assignment,"Assignment of Member status, under this clause, including any management and voting interests, will require the consent of all the remaining Members.",BM25_leakage_controlled,Anti-Assignment,27.89236575619829,"Neither Party may assign or transfer this Supply Agreement, including by merger, operation of law, or otherwise, without the other Party's prior written consent (which shall not be withheld unreasonably) except each Party may assign this Supply Agreement without the other Party's consent in the case of assignment or transfer to a Third Party that succeeds to all or substantially all of the assigning Party's business and assets relating to the subject matter of this Supply Agreement, whether by sale, merger, operation of law or otherwise. Any attempted assignment by a Party in violation of this Section without the written consent of the other Party will be null and void.","VAXCYTE,INC_05_22_2020-EX-10.19-SUPPLY AGREEMENT",CUAD_train_contracts
1,"BORROWMONEYCOM,INC_06_11_2020-EX-10.1-JOINT VENTURE AGREEMENT",Anti-Assignment,"Assignment of Member status, under this clause, including any management and voting interests, will require the consent of all the remaining Members.",SBERT_leakage_controlled,Anti-Assignment,0.6175947189331055,"This Assignment shall inure to the benefit of, and shall be binding upon, the Parties and their respective successors and assigns, but, except as provided in Section 3 above, neither Party may assign this Assignment without the prior written consent of the other Party.","Loop Industries, Inc. - Marketing Agreement",CUAD_train_contracts
2,TubeMediaCorp_20060310_8-K_EX-10.1_513921_EX-10.1_Affiliate Agreement,Revenue/Profit Sharing,"In consideration of the terms and conditions set forth herein, Network shall pay Affiliate (i) the Affiliate Advertising Share, and (ii) the Affiliate Transactional Share, each as provided in Exhibit D.",BM25_leakage_controlled,License Grant,62.94012916205,"Subject to the terms and conditions of this Agreement, Network Affiliate hereby grants to NCM, and NCM hereby accepts, a non-exclusive, non-transferable (except in connection with an assignment of this Agreement in accordance with Section 14.8 hereof), non- sublicenseable, limited license (i) to use the Network Affiliate Marks solely in connection with its delivery of the Service, as approved by Network Affiliate in writing in advance, and (ii) to use the Network Affiliate Marks in Marketing Materials that have been approved by Network Affiliate pursuant to the terms hereof.",DigitalCinemaDestinationsCorp_20111220_S-1_EX-10.10_7346719_EX-10.10_Affiliate Agreement,CUAD_train_contracts
2,TubeMediaCorp_20060310_8-K_EX-10.1_513921_EX-10.1_Affiliate Agreement,Revenue/Profit Sharing,"In consideration of the terms and conditions set forth herein, Network shall pay Affiliate (i) the Affiliate Advertising Share, and (ii) the Affiliate Transactional Share, each as provided in Exhibit D.",SBERT_leakage_controlled,Document Name,0.7397966980934143,NETWORK AFFILIATE AGREEMENT,DigitalCinemaDestinationsCorp_20111220_S-1_EX-10.10_7346719_EX-10.10_Affiliate Agreement,CUAD_train_contracts
3,"GSITECHNOLOGYINC_11_16_2009-EX-10.2-INTELLECTUAL PROPERTY AGREEMENT between SONY ELECTRONICS INC. and GSI TECHNOLOGY, INC.",Change Of Control,other Party with notice of the transfer or assignment.,BM25_leakage_controlled,Anti-Assignment,17.826512655142484,"In the event either Party desires to make such an assignment or other transfer of this Agreement or any rights or obligations hereunder, such Party shall deliver a written notice to the other Party requesting the other Party's written consent in accordance with this Section 13.2, and the other Party shall provide such Party written notice of its determination whether to provide such written consent within [***] following its receipt of such written notice from such Party.",DovaPharmaceuticalsInc_20181108_10-Q_EX-10.2_11414857_EX-10.2_Promotion Agreement,CUAD_train_contracts
3,"GSITECHNOLOGYINC_11_16_2009-EX-10.2-INTELLECTUAL PROPERTY AGREEMENT between SONY ELECTRONICS INC. and GSI TECHNOLOGY, INC.",Change Of Control,other Party with notice of the transfer or assignment.,SBERT_leakage_controlled,Anti-Assignment,0.6821581125259399,"Owner shall deliver notice of any such assignment, pledge or transfer to Service Provider in writing as soon as reasonably practicable thereafter.","SPIENERGYCO,LTD_03_09_2011-EX-99.5-OPERATIONS AND MAINTENANCE AGREEMENT",CUAD_train_contracts
4,"VIVINT SOLAR, INC. - NON-COMPETITION AGREEMENT",Expiration Date,"This Agreement will become effective on the Effective Date, and will continue until the expiration of the ""Sales Term"" as that term is defined in the Sales Dealer Agreement dated as of August 16, 2017 between Vivint and Vivint Solar Developer, LLC (the ""Term"").""",BM25_leakage_controlled,Expiration Date,59.37366457227407,"The term of this Agreement will commence upon the Effective Date and will continue until the fifth (5th) anniversary of the Effective Date, unless earlier terminated or extended under this Article 8 (the ""Initial Term"").",VERICELCORP_08_06_2019-EX-10.10-SUPPLY AGREEMENT,CUAD_train_contracts
4,"VIVINT SOLAR, INC. - NON-COMPETITION AGREEMENT",Expiration Date,"This Agreement will become effective on the Effective Date, and will continue until the expiration of the ""Sales Term"" as that term is defined in the Sales Dealer Agreement dated as of August 16, 2017 between Vivint and Vivint Solar Developer, LLC (the ""Term"").""",SBERT_leakage_controlled,Expiration Date,0.6110405921936035,"This Agreement shall be effective as of the Effective Date and shall continue in effect through December 31, 2021 and any Renewal Term (the ""Term""), unless terminated earlier as set forth herein.",ExactSciencesCorp_20180822_8-K_EX-10.1_11331629_EX-10.1_Promotion Agreement,CUAD_train_contracts
