contract_id,text,text_norm,label,source,subset
"WHITESMOKE,INC_11_08_2011-EX-10.26-PROMOTION AND DISTRIBUTION AGREEMENT",Promotion and Distribution Agreement,promotion and distribution agreement,Document Name,CUAD_train_contracts,cuad_train
"WHITESMOKE,INC_11_08_2011-EX-10.26-PROMOTION AND DISTRIBUTION AGREEMENT","""Term"" means the earlier of: (a) the end of the two year period from the Effective Date to 31 July 2013; or (b) the last day of the calendar month within which the Maximum Distribution Commitment is reached.",term means the earlier of a the end of the two year period from the effective date to 31 july 2013 or b the last day of the calendar month within which the maximum distribution commitment is reached,Expiration Date,CUAD_train_contracts,cuad_train
"WHITESMOKE,INC_11_08_2011-EX-10.26-PROMOTION AND DISTRIBUTION AGREEMENT","This Agreement shall commence on the Effective Date and, unless earlier terminated as set out in this Agreement, shall continue for the Term.",this agreement shall commence on the effective date and unless earlier terminated as set out in this agreement shall continue for the term,Expiration Date,CUAD_train_contracts,cuad_train
"WHITESMOKE,INC_11_08_2011-EX-10.26-PROMOTION AND DISTRIBUTION AGREEMENT",This Agreement is governed by English law and the parties submit to the exclusive jurisdiction of the English courts in relation to any dispute (contractual or non-contractual) concerning this Agreement save that either party may apply to any court for an injunction or other relief to protect its Intellectual Property Rights.,this agreement is governed by english law and the parties submit to the exclusive jurisdiction of the english courts in relation to any dispute contractual or non contractual concerning this agreement save that either party may apply to any court for an injunction or other relief to protect its intellectual property rights,Governing Law,CUAD_train_contracts,cuad_train
"WHITESMOKE,INC_11_08_2011-EX-10.26-PROMOTION AND DISTRIBUTION AGREEMENT","[ * ] expected to experience, or [ * ] is experiencing, such Change of Control shall notify [ * ] in writing of this before or within [ * ] after the Change of Control.",expected to experience or is experiencing such change of control shall notify in writing of this before or within after the change of control,Change Of Control,CUAD_train_contracts,cuad_train
"WHITESMOKE,INC_11_08_2011-EX-10.26-PROMOTION AND DISTRIBUTION AGREEMENT","[ * ] may terminate this Agreement immediately upon written notice if there is a Change of Control of [ * ]. In this Clause the term ""Control"" shall mean the possession by any person(s) directly or indirectly of the power to direct or cause the direction of another person and ""Change of Control"" is to be construed accordingly.",may terminate this agreement immediately upon written notice if there is a change of control of in this clause the term control shall mean the possession by any person s directly or indirectly of the power to direct or cause the direction of another person and change of control is to be construed accordingly,Change Of Control,CUAD_train_contracts,cuad_train
"WHITESMOKE,INC_11_08_2011-EX-10.26-PROMOTION AND DISTRIBUTION AGREEMENT","For the avoidance of doubt, if following [ * ] there is a transfer of shareholding or interests in Distributor to any existing or new shareholder(s) which results in any person or persons subsequently gaining Control of Distributor, then Google may exercise its right to terminate in accordance with this clause 5.4.",for the avoidance of doubt if following there is a transfer of shareholding or interests in distributor to any existing or new shareholder s which results in any person or persons subsequently gaining control of distributor then google may exercise its right to terminate in accordance with this clause 5 4,Change Of Control,CUAD_train_contracts,cuad_train
"WHITESMOKE,INC_11_08_2011-EX-10.26-PROMOTION AND DISTRIBUTION AGREEMENT","For the avoidance of doubt, a Change of Control shall be deemed an assignment hereunder unless [ * ] does not exercise its [ * ].",for the avoidance of doubt a change of control shall be deemed an assignment hereunder unless does not exercise its,Change Of Control,CUAD_train_contracts,cuad_train
"WHITESMOKE,INC_11_08_2011-EX-10.26-PROMOTION AND DISTRIBUTION AGREEMENT",[ * ] may [ * ]any of its rights or obligations under this Agreement without the prior written consent of [ * ].,may any of its rights or obligations under this agreement without the prior written consent of,Anti-Assignment,CUAD_train_contracts,cuad_train
"WHITESMOKE,INC_11_08_2011-EX-10.26-PROMOTION AND DISTRIBUTION AGREEMENT","Subject to the terms and conditions of this Agreement, Google grants to Distributor a limited, [ * ] license during the Term to use the Google Trademarks, in accordance with Google's trademark usage guidelines, solely to market and promote the Products consistent with this Agreement, provided that all use of the Google Trademarks shall be subject to Google's prior review and advance written consent.",subject to the terms and conditions of this agreement google grants to distributor a limited license during the term to use the google trademarks in accordance with google s trademark usage guidelines solely to market and promote the products consistent with this agreement provided that all use of the google trademarks shall be subject to google s prior review and advance written consent,License Grant,CUAD_train_contracts,cuad_train
